version,mp,iters,mean_ssm_us,mean_mlp_us,mean_tot_us,min_ssm_us,min_mlp_us,min_tot_us
f32_naive_mp,1,50,69700.650,8927.555,78628.205,69448.066,8854.202,78322.959
sq_int8_v0,1,50,74142.617,9479.512,83622.129,73551.256,9374.463,83052.805
sq_int8_v5,1,50,74232.618,10963.425,85196.043,73719.111,10491.801,84451.436
f32_naive_mp,2,50,35451.225,8933.478,44384.704,35271.680,8875.456,44169.342
sq_int8_v0,2,50,37736.259,9548.763,47285.021,37409.015,9438.352,46886.512
sq_int8_v5,2,50,37750.840,10929.808,48680.648,37378.566,10379.767,48004.820
f32_naive_mp,4,50,29088.995,8916.650,38005.645,28379.473,8864.358,37278.133
sq_int8_v0,4,50,29893.548,9535.543,39429.091,28943.019,9439.121,38481.644
sq_int8_v5,4,50,30312.924,10802.570,41115.494,29882.556,10329.752,40258.743
f32_naive_mp,8,50,18782.474,8917.086,27699.560,18084.209,8874.321,26986.950
sq_int8_v0,8,50,18956.201,9583.793,28539.994,18682.954,9491.155,28270.274
sq_int8_v5,8,50,17300.704,10903.605,28204.309,17063.477,10368.204,27545.791
f32_naive_mp,16,50,10380.449,8994.390,19374.839,10221.663,8915.336,19184.429
sq_int8_v0,16,50,10863.852,9646.013,20509.865,10717.851,9506.492,20272.116
sq_int8_v5,16,50,10812.506,10841.651,21654.157,10353.229,10313.251,20679.493
