version,mp_ssm_threads,ssm_ms,mlp_ms,total_ms,speedup_vs_f32
f32_naive_mp,1,69.448,8.854,78.323,1.000
sq_int8_v0,1,73.551,9.374,83.053,0.943
sq_int8_v5,1,73.719,10.492,84.451,0.927
f32_naive_mp,2,35.272,8.875,44.169,1.000
sq_int8_v0,2,37.409,9.438,46.887,0.942
sq_int8_v5,2,37.379,10.380,48.005,0.920
f32_naive_mp,4,28.379,8.864,37.278,1.000
sq_int8_v0,4,28.943,9.439,38.482,0.969
sq_int8_v5,4,29.883,10.330,40.259,0.926
f32_naive_mp,8,18.084,8.874,26.987,1.000
sq_int8_v0,8,18.683,9.491,28.270,0.955
sq_int8_v5,8,17.063,10.368,27.546,0.980
f32_naive_mp,16,10.222,8.915,19.184,1.000
sq_int8_v0,16,10.718,9.506,20.272,0.946
sq_int8_v5,16,10.353,10.313,20.679,0.928
